statement_date,value_date,bank_txn_id,txn_type,debit_credit,amount,stated_running_balance,reference_number,description,check_number,counterparty,branch,currency
2024-05-13,2024-05-13,BNK-70012,deposit,CR,144220.18,4040798.56,DEP-MAY-1012,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-14,2024-05-14,BNK-70013,deposit,CR,130441.00,4171239.56,DEP-MAY-1013,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-15,2024-05-15,BNK-70014,deposit,CR,127880.55,4299120.11,DEP-MAY-1014,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-16,2024-05-16,BNK-70015,deposit,CR,139104.20,4438224.31,DEP-MAY-1015,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-17,2024-05-17,BNK-70016,deposit,CR,118760.33,4556984.64,DEP-MAY-1016,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-18,2024-05-18,BNK-70017,deposit,CR,141908.77,4698893.41,DEP-MAY-1017,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-19,2024-05-19,BNK-70018,deposit,CR,132440.10,4831333.51,DEP-MAY-1018,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-20,2024-05-20,BNK-70019,deposit,CR,126005.80,4957339.31,DEP-MAY-1019,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-21,2024-05-21,BNK-70020,deposit,CR,135770.42,5093109.73,DEP-MAY-1020,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-22,2024-05-22,BNK-70021,deposit,CR,122980.00,5216089.73,DEP-MAY-1021,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-23,2024-05-23,BNK-70022,deposit,CR,148110.65,5364200.38,DEP-MAY-1022,Card settlement — Helios Retail POS,,Helios Stores NA,Cincinnati OH,USD
2024-05-14,2024-05-14,BNK-70023,deposit,CR,48500.00,5412700.38,WIRE-NEX-5510,Incoming wire — customer remittance batch,,Northwind Wholesale,Cincinnati OH,USD
2024-05-06,2024-05-06,BNK-70024,withdrawal,DR,882140.00,4530560.38,ACH-PAY-0515,Bi-weekly payroll funding,,ADP Wage Pay,Cincinnati OH,USD
2024-05-08,2024-05-08,BNK-70025,withdrawal,DR,44120.66,4486439.72,ACH-UTIL-88,Electric — plants OH/IN/TX,,Midwest Power,Cincinnati OH,USD
2024-05-10,2024-05-10,BNK-70026,withdrawal,DR,12880.00,4473559.72,ACH-LEASE-04,Distribution center lease,,Prologis REIT,Cincinnati OH,USD
2024-05-12,2024-05-12,BNK-70027,withdrawal,DR,6720.45,4466839.27,FEE-ANA-MAY,Account analysis fee,,First National Treasury,Cincinnati OH,USD
2024-05-14,2024-05-14,BNK-70028,deposit,CR,25000.00,4491839.27,CHK-441900,Refund — overpaid freight,441900,XPO Logistics,Cincinnati OH,USD
2024-05-16,2024-05-16,BNK-70029,withdrawal,DR,9104.22,4482735.05,ACH-INS-Q2,Property insurance Q2,,Chubb North America,Cincinnati OH,USD
2024-05-18,2024-05-18,BNK-70030,withdrawal,DR,33450.00,4449285.05,WIRE-TAX-941,Federal 941 remittance,,US Treasury,Cincinnati OH,USD
2024-05-20,2024-05-20,BNK-70031,withdrawal,DR,15600.80,4433684.25,ACH-BENE-HSA,HSA employer funding,,Fidelity Benefits,Cincinnati OH,USD
2024-05-03,2024-05-03,BNK-70032,deposit,CR,16880.40,4450564.65,LOCKBOX-2291,Lockbox — Midwest dealers,,Dealer AR,Cincinnati OH,USD
2024-05-07,2024-05-07,BNK-70033,deposit,CR,22104.00,4472668.65,LOCKBOX-2298,Lockbox — East dealers,,Dealer AR,Cincinnati OH,USD
2024-05-09,2024-05-09,BNK-70034,withdrawal,DR,990.00,4471678.65,NSF-2291,Returned item NSF,,Dealer AR,Cincinnati OH,USD
2024-05-16,2024-05-16,BNK-70035,deposit,CR,54000.00,4525678.65,WIRE-EXPORT-9,Export collection,,Helios Mexico SA,Cincinnati OH,USD
2024-05-20,2024-05-20,BNK-70036,withdrawal,DR,3122.18,4522556.47,ACH-COURIER,Overnight freight,,FedEx Corporate,Cincinnati OH,USD
2024-05-21,2024-05-21,BNK-70037,deposit,CR,17840.00,4540396.47,ZBA-SWEEP,ZBA residual sweep in,,First National,Cincinnati OH,USD
2024-05-22,2024-05-22,BNK-70038,withdrawal,DR,6400.00,4533996.47,ACH-JANITOR,Facilities services,,ABM Industry,Cincinnati OH,USD
2024-05-23,2024-05-23,BNK-70039,deposit,CR,21004.75,4555001.22,LOCKBOX-2310,Lockbox — West dealers,,Dealer AR,Cincinnati OH,USD
2024-05-28,2024-05-28,BNK-70040,deposit,CR,4550.00,4559551.22,WIRE-REBATE,Vendor rebate — Fastenal,,Fastenal Company,Cincinnati OH,USD
2024-05-29,2024-05-29,BNK-70041,withdrawal,DR,11880.00,4547671.22,ACH-CLOUD,ERP cloud subscription,,SAP America,Cincinnati OH,USD
2024-05-30,2024-05-30,BNK-70042,withdrawal,DR,775.40,4546895.82,FEE-WIRE-OUT,Wire origination fee,,First National Treasury,Cincinnati OH,USD
2024-05-31,2024-05-31,BNK-70043,withdrawal,DR,250000.00,4296895.82,SWEEP-MMF,Overnight money-market sweep,,Federated Hermes,Cincinnati OH,USD
