gr_number,gr_date,po_number,po_line_id,vendor_name,item_sku,qty_received,uom,unit_price,received_amount,warehouse,packing_slip,receiver,inspection_status
GR-88046,2024-04-16,PO-24125,10,Mitsubishi Electric US,SC-400,8,EA,410.00,3280.00,Plant-IN-WH1,PS-88046,P. Singh,Accepted
GR-88047,2024-04-17,PO-24130,10,Bosch Rexroth Corp,FIL-10,12,EA,86.25,1035.00,Plant-OH-WH1,PS-88047,L. Nguyen,Accepted
GR-88048,2024-04-19,PO-24142,10,SKF USA Inc,SEAL-V,100,EA,4.18,418.00,Plant-TX-WH1,PS-88048,K. Brooks,Accepted
GR-88049,2024-04-26,PO-24150,10,Fastenal Company,WASHER-M8,8000,EA,0.03,240.00,Plant-TX-WH1,PS-88049,P. Singh,Accepted
GR-88050,2024-04-27,PO-24150,20,Fastenal Company,LOCT-243,24,EA,11.80,283.20,Plant-TX-WH1,PS-88050,L. Nguyen,Accepted
GR-88051,2024-04-28,PO-24161,10,Grainger Inc,BOOTS-11,22,PR,128.00,2816.00,Plant-OH-WH1,PS-88051,K. Brooks,Accepted
GR-88052,2024-04-29,PO-24168,10,Siemens Industry Inc,SCALANCE,3,EA,890.00,2670.00,Plant-IN-WH1,PS-88052,P. Singh,Accepted
GR-88053,2024-04-30,PO-24174,10,Dell Inc,DOCK-USBC,14,EA,219.00,3066.00,Plant-TX-WH1,PS-88053,L. Nguyen,Accepted
GR-88054,2024-05-01,PO-24180,10,SKF USA Inc,GREASE-2,48,EA,8.90,427.20,Plant-OH-WH1,PS-88054,K. Brooks,Accepted
GR-88055,2024-05-02,PO-24186,10,Mitsubishi Electric US,MR-J4,8,EA,620.00,4960.00,Plant-IN-WH1,PS-88055,P. Singh,Accepted
GR-88056,2024-05-03,PO-24192,10,Bosch Rexroth Corp,ACC-10,4,EA,355.00,1420.00,Plant-OH-WH1,PS-88056,L. Nguyen,Accepted
